0000	d0
0001	80
0002	d1
0003	00
0004	e0
0005	d9
0006	80
0007	82
0008	50
0009	00
000a	17
000b	84
000c	85
000d	f0
000e	d0
000f	80
0010	d1
0011	02
0012	e0
0013	d9
0014	01
0015	83
0016	f0
0017	d0
0018	80
0019	d1
001a	01
001b	e0
001c	d9
001d	80
001e	82
001f	50
0020	00
0021	2e
0022	84
0023	85
0024	f0
0025	d0
0026	80
0027	d1
0028	02
0029	e0
002a	d9
002b	02
002c	83
002d	f0
002e	d0
002f	80
0030	d1
0031	01
0032	e0
0033	d0
0034	80
0035	d1
0036	03
0037	f0
0038	d0
0039	80
003a	d1
003b	00
003c	e0
003d	d0
003e	80
003f	d1
0040	04
0041	e1
0042	80
0043	f0
0044	d0
0045	80
0046	d1
0047	03
0048	e0
0049	86
004a	f0
004b	50
004c	00
004d	51
004e	60
004f	00
0050	38
0051	d0
0052	80
0053	d1
0054	02
0055	e0
0056	d9
0057	00
0058	92
0059	50
005a	00
005b	6a
005c	d9
005d	03
005e	92
005f	50
0060	00
0061	6a
0062	d0
0063	80
0064	d1
0065	04
0066	e0
0067	84
0068	85
0069	f0
8000	01
8001	78
8002	00
8003	00
8004	00
